mode,normalized,classifier,rseed,time,accuracy,f1
smartphoneatpocket,True,ExtraTreesClassifier,62062274,0.0511569976807,0.700854700855,0.684010932857
smartphoneatpocket,True,GaussianNB,93797449,0.00208401679993,0.641025641026,0.623522238767
smartphoneatpocket,True,GaussianNB,81918009,0.00201177597046,0.641025641026,0.623522238767
smartphoneatpocket,True,GaussianNB,61132739,0.00186204910278,0.641025641026,0.623522238767
smartphoneatpocket,True,GaussianNB,37701167,0.0019199848175,0.641025641026,0.623522238767
smartphoneatpocket,True,GaussianNB,78112324,0.00192809104919,0.641025641026,0.623522238767
smartphoneatpocket,True,GaussianNB,25567961,0.00188398361206,0.641025641026,0.623522238767
smartphoneatpocket,True,GaussianNB,22644213,0.00193500518799,0.641025641026,0.623522238767
smartphoneatpocket,True,GaussianNB,74540349,0.00195002555847,0.641025641026,0.623522238767
smartphoneatpocket,True,GaussianNB,98054267,0.00194597244263,0.641025641026,0.623522238767
smartphoneatpocket,True,GaussianNB,71167868,0.00193500518799,0.641025641026,0.623522238767
smartphoneatpocket,True,GaussianNB,16252189,0.00191187858582,0.641025641026,0.623522238767
smartphoneatpocket,True,GaussianNB,1813579,0.00195097923279,0.641025641026,0.623522238767
smartphoneatpocket,True,GaussianNB,39363446,0.0018949508667,0.641025641026,0.623522238767
smartphoneatpocket,True,GaussianNB,855513,0.00195789337158,0.641025641026,0.623522238767
smartphoneatpocket,True,GaussianNB,74041245,0.00193405151367,0.641025641026,0.623522238767
smartphoneatpocket,True,GaussianNB,22950172,0.00194191932678,0.641025641026,0.623522238767
smartphoneatpocket,True,GaussianNB,18426920,0.00194406509399,0.641025641026,0.623522238767
smartphoneatpocket,True,GaussianNB,34295891,0.00194096565247,0.641025641026,0.623522238767
smartphoneatpocket,True,GaussianNB,86828940,0.00194501876831,0.641025641026,0.623522238767
smartphoneatpocket,True,GaussianNB,62062274,0.00194597244263,0.641025641026,0.623522238767
smartphoneatpocket,True,KNeighborsClassifier,93797449,0.0190970897675,0.67094017094,0.649583822276
smartphoneatpocket,True,KNeighborsClassifier,81918009,0.018965959549,0.67094017094,0.649583822276
smartphoneatpocket,True,KNeighborsClassifier,61132739,0.0187060832977,0.67094017094,0.649583822276
smartphoneatpocket,True,KNeighborsClassifier,37701167,0.0188150405884,0.67094017094,0.649583822276
smartphoneatpocket,True,KNeighborsClassifier,78112324,0.0188498497009,0.67094017094,0.649583822276
smartphoneatpocket,True,KNeighborsClassifier,25567961,0.0188801288605,0.67094017094,0.649583822276
smartphoneatpocket,True,KNeighborsClassifier,22644213,0.018816947937,0.67094017094,0.649583822276
smartphoneatpocket,True,KNeighborsClassifier,74540349,0.0187649726868,0.67094017094,0.649583822276
smartphoneatpocket,True,KNeighborsClassifier,98054267,0.0190119743347,0.67094017094,0.649583822276
smartphoneatpocket,True,KNeighborsClassifier,71167868,0.0189189910889,0.67094017094,0.649583822276
smartphoneatpocket,True,KNeighborsClassifier,16252189,0.0188629627228,0.67094017094,0.649583822276
smartphoneatpocket,True,KNeighborsClassifier,1813579,0.0187139511108,0.67094017094,0.649583822276
smartphoneatpocket,True,KNeighborsClassifier,39363446,0.0188529491425,0.67094017094,0.649583822276
smartphoneatpocket,True,KNeighborsClassifier,855513,0.0188839435577,0.67094017094,0.649583822276
smartphoneatpocket,True,KNeighborsClassifier,74041245,0.0188069343567,0.67094017094,0.649583822276
smartphoneatpocket,True,KNeighborsClassifier,22950172,0.0187621116638,0.67094017094,0.649583822276
smartphoneatpocket,True,KNeighborsClassifier,18426920,0.0188150405884,0.67094017094,0.649583822276
smartphoneatpocket,True,KNeighborsClassifier,34295891,0.0186820030212,0.67094017094,0.649583822276
smartphoneatpocket,True,KNeighborsClassifier,86828940,0.0187849998474,0.67094017094,0.649583822276
smartphoneatpocket,True,KNeighborsClassifier,62062274,0.0187981128693,0.67094017094,0.649583822276
smartphoneatpocket,True,MLPClassifier,93797449,0.715476989746,0.653846153846,0.631317126624
smartphoneatpocket,True,MLPClassifier,81918009,1.29590702057,0.67094017094,0.651174458827
smartphoneatpocket,True,MLPClassifier,61132739,1.67074394226,0.688034188034,0.674301149029
smartphoneatpocket,True,MLPClassifier,37701167,0.805153131485,0.666666666667,0.650467408437
smartphoneatpocket,True,MLPClassifier,78112324,1.09621119499,0.666666666667,0.650947781825
smartphoneatpocket,True,MLPClassifier,25567961,0.958322048187,0.679487179487,0.664660213229
smartphoneatpocket,True,MLPClassifier,22644213,1.15838909149,0.666666666667,0.64853022455
smartphoneatpocket,True,MLPClassifier,74540349,0.70429110527,0.649572649573,0.628362125113
smartphoneatpocket,True,MLPClassifier,98054267,1.09607410431,0.653846153846,0.638049182767
smartphoneatpocket,True,MLPClassifier,71167868,1.7600300312,0.653846153846,0.634011147533
smartphoneatpocket,True,MLPClassifier,16252189,1.22664618492,0.662393162393,0.655012432466
smartphoneatpocket,True,MLPClassifier,1813579,1.08172082901,0.653846153846,0.637400732894
smartphoneatpocket,True,MLPClassifier,39363446,0.768476009369,0.653846153846,0.635999065957
smartphoneatpocket,True,MLPClassifier,855513,1.28423094749,0.653846153846,0.636397306131
smartphoneatpocket,True,MLPClassifier,74041245,1.93175792694,0.65811965812,0.641353355572
smartphoneatpocket,True,MLPClassifier,22950172,0.953886985779,0.653846153846,0.639041229899
smartphoneatpocket,True,MLPClassifier,18426920,1.36066198349,0.688034188034,0.676974058344
smartphoneatpocket,True,MLPClassifier,34295891,1.83434796333,0.67094017094,0.652388887056
smartphoneatpocket,True,MLPClassifier,86828940,1.20386600494,0.67094017094,0.656044951083
smartphoneatpocket,True,MLPClassifier,62062274,1.48225808144,0.65811965812,0.6449370195
smartphoneatboth,True,LogisticRegression,93797449,0.217913150787,0.837606837607,0.829026240003
smartphoneatboth,True,LogisticRegression,81918009,0.166845083237,0.837606837607,0.829026240003
smartphoneatboth,True,LogisticRegression,61132739,0.165591001511,0.837606837607,0.829026240003
smartphoneatboth,True,LogisticRegression,37701167,0.16494011879,0.837606837607,0.829026240003
smartphoneatboth,True,LogisticRegression,78112324,0.165882825851,0.837606837607,0.829026240003
smartphoneatboth,True,LogisticRegression,25567961,0.164556026459,0.837606837607,0.829026240003
smartphoneatboth,True,LogisticRegression,22644213,0.164824962616,0.837606837607,0.829026240003
smartphoneatboth,True,LogisticRegression,74540349,0.164453983307,0.837606837607,0.829026240003
smartphoneatboth,True,LogisticRegression,98054267,0.164323091507,0.837606837607,0.829026240003
smartphoneatboth,True,LogisticRegression,71167868,0.163768053055,0.837606837607,0.829026240003
smartphoneatboth,True,LogisticRegression,16252189,0.164360046387,0.837606837607,0.829026240003
smartphoneatboth,True,LogisticRegression,1813579,0.163713932037,0.837606837607,0.829026240003
smartphoneatboth,True,LogisticRegression,39363446,0.163583040237,0.837606837607,0.829026240003
